INFO  - 2017-04-29 17:45:47.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2017-04-29 17:45:47.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2017-04-29 17:45:47.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2017-04-29 17:45:47.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/tika-xmp-1.4.jar' to classloader
INFO  - 2017-04-29 17:45:47.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.559; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2017-04-29 17:45:47.559; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2017-04-29 17:45:47.559; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2017-04-29 17:45:47.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2017-04-29 17:45:47.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2017-04-29 17:45:47.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
